round,winner,results,year,gender,player1,player2,country1,country2,firstServe1,firstServe2,ace1,ace2,double1,double2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2,fastServe1,fastServe2,avgFirstServe1,avgFirstServe2,avgSecServe1,avgSecServe2,break1,break2,return1,return2,total1,total2,winner1,winner2,error1,error2,net1,net2
Third,James Blake,6-3 6-2 3-6 6-1,2009,m,James Blake,Igor Andreev,USA,RUS,61%,58%,6,5,0,2,77%,71%,65%,38%,208,206,179,180,150,146,50%,20%,43%,27%,115,83,37,21,36,29,68%,57%
Third,Fernando Gonzalez,3-6 3-6 7-6(10) 6-2 12-10,2009,m,Fernando Gonzalez,Richard Gasquet,CHI,FRA,69%,64%,14,11,7,7,72%,81%,48%,41%,204,209,172,183,143,151,43%,43%,34%,35%,191,191,85,80,51,58,67%,77%
Third,Gael Monfils,6-4 6-3 7-5,2009,m,Gael Monfils,Nicolas Almagro,FRA,ESP,66%,68%,12,10,0,2,76%,63%,47%,52%,204,208,172,179,137,148,50%,20%,41%,34%,106,91,36,42,24,43,46%,62%
Third,Fernando Verdasco,6-4 6-0 6-0,2009,m,Fernando Verdasco,Radek Stepanek,ESP,CZE,81%,56%,1,2,2,5,71%,44%,46%,30%,203,188,169,179,154,151,45%,20%,62%,33%,99,55,34,23,15,39,79%,44%
Third,Jo-Wilfried Tsonga,6-4 6-2 1-6 6-1,2009,m,Jo-Wilfried Tsonga,Dudi Sela,FRA,ISR,62%,55%,5,0,2,2,70%,63%,55%,48%,220,172,190,166,150,142,38%,27%,44%,36%,110,93,36,19,36,25,72%,60%
Third,Andy Murray,7-5 6-0 6-3,2009,m,Andy Murray,Jurgen Melzer,GBR,AUT,60%,70%,8,2,0,1,78%,58%,52%,25%,216,201,182,179,137,142,50%,25%,52%,33%,96,65,32,29,10,30,58%,58%
Third,Rafael Nadal,6-4 6-2 6-2,2009,m,Rafael Nadal,Tommy Haas,ESP,GER,69%,62%,4,6,0,0,81%,57%,79%,41%,200,198,183,182,142,151,33%,100%,49%,19%,98,62,53,25,8,25,87%,57%
Third,Gilles Simon,7-6(2) 6-4 6-2,2009,m,Gilles Simon,Mario Ancic,FRA,CRO,59%,53%,0,7,1,3,70%,71%,54%,44%,196,206,172,190,135,153,50%,17%,42%,36%,115,99,36,29,35,49,69%,68%
Third,Tommy Robredo,6-1 6-3 6-2,2009,m,Tommy Robredo,Yen-Hsun Lu,ESP,TPE,75%,63%,7,1,1,2,74%,58%,56%,31%,196,190,167,177,153,145,64%,25%,52%,31%,86,56,32,12,21,33,88%,57%
Third,Andy Roddick,6-3 6-4 6-2,2009,m,Andy Roddick,Fabrice Santoro,USA,FRA,73%,57%,22,4,1,2,85%,69%,65%,47%,211,192,195,169,171,134,36%,0%,41%,21%,90,62,50,20,19,12,70%,50%
Third,Marin Cilic,7-6(5) 6-3 6-4,2009,m,Marin Cilic,David Ferrer,CRO,ESP,59%,70%,7,0,0,3,68%,59%,59%,70%,209,185,196,169,145,140,40%,50%,38%,36%,103,94,33,13,46,39,74%,85%
Third,Marcos Baghdatis,6-2 6-4 6-4,2009,m,Marcos Baghdatis,Mardy Fish,CYP,USA,54%,54%,5,10,4,4,80%,60%,47%,47%,200,219,187,188,148,148,43%,67%,46%,35%,105,89,34,27,29,45,78%,47%
Third,Tomas Berdych,4-6 6-1 6-3 6-4,2009,m,Tomas Berdych,Stanislas Wawrinka,CZE,SUI,63%,51%,9,9,3,2,77%,66%,44%,48%,208,204,193,187,161,146,25%,14%,43%,35%,136,119,49,39,46,49,74%,62%
Third,Novak Djokovic,6-2 4-6 6-3 7-6(4),2009,m,Novak Djokovic,Amer Delic,SRB,BIH,65%,59%,11,16,4,6,79%,77%,52%,44%,208,224,193,206,153,171,38%,11%,37%,31%,139,123,30,46,27,56,65%,68%
Third,Roger Federer,6-3 6-2 7-6(5),2009,m,Roger Federer,Marat Safin,SUI,RUS,60%,51%,9,14,1,2,85%,63%,64%,59%,208,212,192,201,158,154,75%,-,39%,24%,103,76,26,33,28,33,46%,43%
Third,Juan Martin Del Potro,6-7(5) 7-5 6-3 7-5,2009,m,Juan Martin Del Potro,Gilles Muller,ARG,LUX,73%,64%,12,22,3,9,83%,70%,62%,43%,206,206,177,187,146,158,17%,33%,40%,23%,168,137,62,71,25,62,80%,70%
Second,Radek Stepanek,6-3 6-2 6-7(3) 7-5,2009,m,Radek Stepanek,Michael Berrer,CZE,GER,67%,66%,14,4,6,8,78%,65%,43%,47%,,,,,0,0,50%,33%,41%,34%,148,126,,,,,,
Second,Richard Gasquet,6-3 6-4 6-4,2009,m,Richard Gasquet,Denis Istomin,FRA,UZB,53%,60%,7,5,4,2,78%,67%,63%,34%,211,196,188,183,153,146,31%,33%,46%,29%,106,76,35,21,29,35,70%,67%
Second,Nicolas Almagro,6-2 7-5 6-0,2009,m,Nicolas Almagro,Fabio Fognini,ESP,ITA,55%,52%,8,3,4,5,80%,61%,50%,29%,,,,,0,0,80%,67%,55%,33%,93,60,,,,,,
Second,Andy Murray,6-4 6-2 6-2,2009,m,Andy Murray,Marcel Granollers,GBR,ESP,57%,52%,4,2,1,1,73%,56%,65%,47%,208,200,177,180,135,146,38%,50%,48%,30%,100,72,37,18,31,27,83%,46%
Second,James Blake,6-3 6-2 6-3,2009,m,James Blake,Sebastien de Chaunac,USA,FRA,63%,48%,4,9,5,7,84%,63%,53%,45%,196,193,177,182,148,142,28%,0%,47%,27%,109,79,28,33,26,40,68%,71%
Second,Jurgen Melzer,5-7 7-6(7) 6-4 6-3,2009,m,Jurgen Melzer,Andreas Beck,AUT,GER,55%,55%,21,5,2,10,71%,60%,52%,57%,,,,,0,0,50%,29%,41%,38%,148,140,,,,,,
Second,Mario Ancic,5-7 7-5 4-6 6-4 6-3,2009,m,Mario Ancic,Ivo Karlovic,CRO,CRO,64%,65%,8,25,1,2,79%,78%,68%,46%,200,217,193,198,154,161,50%,50%,33%,25%,149,137,51,49,29,42,73%,49%
Second,Igor Andreev,6-4 6-4 5-7 3-6 6-4,2009,m,Igor Andreev,Ernests Gulbis,RUS,LAT,59%,64%,9,14,7,8,73%,68%,54%,49%,196,211,167,195,148,161,24%,25%,39%,35%,179,173,44,53,70,80,59%,63%
Second,Fernando Verdasco,6-1 6-1 6-2,2009,m,Fernando Verdasco,Arnaud Clement,ESP,FRA,84%,63%,7,2,1,3,83%,44%,78%,45%,211,196,172,175,150,143,54%,0%,56%,18%,90,45,28,12,12,31,75%,57%
Second,Dudi Sela,6-3 6-3 6-2,2009,m,Dudi Sela,Victor Hanescu,ISR,ROU,67%,71%,5,1,3,3,78%,66%,48%,32%,,,,,0,0,42%,0%,44%,32%,102,78,,,,,,
Second,Tommy Haas,6-1 6-2 6-1,2009,m,Tommy Haas,Flavio Cipolla,GER,ITA,51%,76%,7,0,2,8,74%,56%,67%,13%,201,163,192,146,158,135,40%,50%,55%,30%,95,61,36,15,27,29,66%,56%
Second,Gilles Simon,6-7(5) 6-4 6-1 6-2,2009,m,Gilles Simon,Chris Guccione,FRA,AUS,54%,63%,14,12,2,3,84%,65%,61%,58%,195,211,175,188,135,161,45%,0%,38%,26%,132,107,53,41,15,37,80%,45%
Second,Jo-Wilfried Tsonga,6-7(4) 7-6(8) 7-6(7) 6-2,2009,m,Jo-Wilfried Tsonga,Ivan Ljubicic,FRA,CRO,66%,61%,18,17,1,1,82%,76%,61%,61%,195,208,187,193,143,153,27%,100%,29%,25%,146,137,71,61,37,40,72%,74%
Second,Fernando Gonzalez,7-5 6-3 6-4,2009,m,Fernando Gonzalez,Guillermo Canas,CHI,ARG,67%,53%,12,9,3,5,83%,65%,55%,53%,201,203,175,179,140,143,20%,100%,41%,26%,112,93,52,32,33,23,68%,56%
Second,Rafael Nadal,6-2 6-3 6-2,2009,m,Rafael Nadal,Roko Karanusic,ESP,CRO,68%,66%,3,2,2,2,75%,69%,60%,27%,195,187,183,167,143,132,86%,0%,45%,30%,83,58,24,15,17,14,73%,65%
Second,Gael Monfils,6-4 6-4 3-6 6-2,2009,m,Gael Monfils,Stefan Koubek,FRA,AUT,61%,54%,17,2,6,3,73%,68%,63%,63%,203,198,182,175,148,140,56%,33%,35%,30%,109,100,36,28,43,44,61%,65%
Second,Marat Safin,7-5 6-2 6-2,2009,m,Marat Safin,Guillermo Garcia-Lopez,RUS,ESP,52%,66%,18,1,3,6,85%,63%,68%,48%,212,183,200,172,159,146,42%,0%,42%,23%,95,67,31,19,23,35,64%,60%
Second,Mardy Fish,6-4 6-1 7-5,2009,m,Mardy Fish,Simone Bolelli,USA,ITA,52%,63%,16,5,2,2,84%,66%,50%,37%,,,,,0,0,50%,33%,45%,33%,100,75,,,,,,
Second,Tomas Berdych,6-1 6-1 6-3,2009,m,Tomas Berdych,Brian Dabul,CZE,ARG,63%,70%,12,2,1,3,73%,58%,78%,25%,216,187,195,164,156,148,33%,0%,52%,25%,102,63,39,14,28,35,58%,54%
Second,Stanislas Wawrinka,6-3 6-4 6-4,2009,m,Stanislas Wawrinka,Brydan Klein,SUI,AUS,60%,67%,4,8,3,4,78%,70%,75%,45%,204,212,179,183,154,151,30%,0%,38%,23%,100,81,32,22,23,33,77%,63%
Second,Marcos Baghdatis,3-6 7-5 6-3 6-3,2009,m,Marcos Baghdatis,Robin Soderling,CYP,SWE,48%,51%,13,7,7,4,66%,69%,58%,38%,208,208,188,187,142,150,53%,42%,46%,38%,133,115,38,32,47,69,83%,63%
Second,David Ferrer,6-2 6-2 6-1,2009,m,David Ferrer,Dominik Hrbaty,ESP,SVK,64%,55%,8,2,1,3,95%,55%,62%,33%,188,183,177,169,140,134,100%,0%,55%,17%,78,34,20,6,18,34,100%,40%
Second,Novak Djokovic,7-5 6-1 6-3,2009,m,Novak Djokovic,Jeremy Chardy,SRB,FRA,71%,61%,7,3,1,0,75%,61%,68%,45%,200,204,192,193,151,167,100%,50%,45%,27%,89,61,33,23,17,32,75%,37%
Second,Tommy Robredo,6-1 6-3 6-0,2009,m,Tommy Robredo,Viktor Troicki,ESP,SRB,80%,57%,7,4,1,3,78%,58%,91%,24%,,,,,0,0,44%,-,57%,20%,88,44,,,,,,
Second,Andy Roddick,4-6 6-2 7-6(1) 6-2,2009,m,Andy Roddick,Xavier Malisse,USA,BEL,71%,61%,19,11,2,2,83%,67%,55%,48%,214,195,200,179,171,137,38%,67%,41%,25%,128,101,45,44,27,50,58%,71%
Second,Fabrice Santoro,5-7 7-5 3-6 7-5 6-3,2009,m,Fabrice Santoro,Philipp Kohlschreiber,FRA,GER,55%,68%,3,4,3,4,67%,59%,51%,56%,193,196,177,172,140,151,28%,37%,42%,40%,181,174,51,94,34,69,76%,74%
Second,Roger Federer,6-2 6-3 6-1,2009,m,Roger Federer,Evgeny Korolev,SUI,KAZ,60%,51%,8,2,3,3,71%,54%,70%,44%,198,201,167,188,154,148,58%,100%,51%,29%,89,59,25,26,15,44,67%,52%
Second,Amer Delic,1-6 3-6 6-3 7-6(3) 9-7,2009,m,Amer Delic,Paul-Henri Mathieu,BIH,FRA,59%,67%,33,11,5,4,69%,73%,64%,63%,,,,,0,0,27%,50%,30%,33%,153,158,,,,,,
Second,Yen-Hsun Lu,6-4 5-7 4-6 6-4 6-2,2009,m,Yen-Hsun Lu,David Nalbandian,TPE,ARG,63%,50%,9,5,4,8,71%,66%,53%,51%,196,192,183,180,150,148,57%,35%,41%,36%,167,149,51,37,60,61,69%,74%
Second,Gilles Muller,3-6 6-1 6-4 6-2,2009,m,Gilles Muller,Bernard Tomic,LUX,AUS,67%,56%,27,5,4,7,83%,65%,53%,47%,204,175,195,169,159,143,29%,17%,43%,27%,120,92,54,32,29,39,48%,64%
Second,Marin Cilic,6-2 6-3 4-6 6-3,2009,m,Marin Cilic,Janko Tipsarevic,CRO,SRB,59%,55%,22,4,2,3,78%,60%,46%,50%,203,203,190,188,148,140,39%,33%,44%,35%,134,115,54,32,46,42,63%,68%
Second,Juan Martin Del Potro,6-1 7-5 6-2,2009,m,Juan Martin Del Potro,Florian Mayer,ARG,GER,66%,62%,7,3,0,1,67%,53%,68%,48%,208,185,192,174,158,137,64%,20%,49%,33%,92,66,41,12,30,19,67%,51%
First,James Blake,6-4 6-3 7-5,2009,m,James Blake,Frank Dancevic,USA,CAN,66%,55%,7,8,5,3,80%,69%,45%,38%,198,203,179,177,145,137,40%,25%,45%,32%,109,88,46,32,21,15,78%,48%
First,Roko Karanusic,6-3 1-6 6-3 3-6 6-3,2009,m,Roko Karanusic,Florent Serra,CRO,FRA,63%,68%,8,5,5,1,72%,64%,44%,53%,,,,,0,0,60%,43%,40%,38%,131,126,,,,,,
First,Fernando Gonzalez,5-7 6-2 6-2 3-6 6-3,2009,m,Fernando Gonzalez,Lleyton Hewitt,CHI,AUS,57%,53%,12,9,4,11,80%,63%,51%,52%,203,193,179,172,143,146,50%,36%,42%,33%,145,121,67,32,58,47,76%,80%
First,Andy Murray,6-2 3-1 ret.,2009,m,Andy Murray,Andrei Pavel,GBR,ROU,65%,56%,2,0,3,3,100%,59%,45%,29%,198,188,158,161,130,132,75%,0%,54%,19%,46,24,13,6,11,17,100%,55%
First,Radek Stepanek,3-6 6-3 6-4 6-4,2009,m,Radek Stepanek,Nicolas Lapentti,CZE,ECU,67%,58%,9,9,3,5,70%,64%,67%,58%,,,,,0,0,31%,67%,38%,31%,126,114,,,,,,
First,Victor Hanescu,3-6 3-6 7-6(7) 7-6(4) 8-6,2009,m,Victor Hanescu,Jan Hernych,ROU,CZE,72%,72%,9,6,4,8,62%,65%,53%,44%,,,,,0,0,33%,56%,41%,41%,188,191,,,,,,
First,Stefan Koubek,6-3 6-2 6-2,2009,m,Stefan Koubek,Mikhail Youzhny,AUT,RUS,54%,63%,4,4,4,5,79%,42%,50%,53%,,,,,0,0,44%,33%,54%,33%,96,65,,,,,,
First,Ernests Gulbis,6-3 6-2 6-3,2009,m,Ernests Gulbis,Albert Montanes,LAT,ESP,64%,54%,11,2,1,2,83%,70%,59%,55%,,,,,0,0,83%,0%,37%,26%,80,62,,,,,,
First,Mario Ancic,7-5 6-4 4-6 6-2,2009,m,Mario Ancic,Wayne Odesnik,CRO,USA,69%,66%,12,1,2,4,78%,64%,56%,55%,,,,,0,0,45%,100%,39%,28%,128,111,,,,,,
First,Fernando Verdasco,6-0 6-2 6-2,2009,m,Fernando Verdasco,Adrian Mannarino,ESP,FRA,72%,44%,7,2,4,4,80%,56%,53%,31%,204,193,164,179,142,143,58%,0%,58%,28%,86,45,24,12,18,43,67%,40%
First,Arnaud Clement,6-3 2-6 4-6 6-2 6-1,2009,m,Arnaud Clement,Sergiy Stakhovsky,FRA,UKR,42%,62%,2,9,2,4,71%,61%,47%,47%,,,,,0,0,47%,43%,44%,43%,146,139,,,,,,
First,Michael Berrer,6-2 6-4 6-3,2009,m,Michael Berrer,Carsten Ball,GER,AUS,53%,58%,9,14,3,6,79%,57%,53%,35%,204,211,185,192,146,161,31%,38%,53%,34%,114,82,29,38,18,55,69%,43%
First,Andreas Beck,7-5 6-1 6-0,2009,m,Andreas Beck,Colin Ebelthite,GER,AUS,69%,57%,1,3,2,5,70%,58%,67%,28%,,,,,0,0,53%,40%,55%,31%,92,59,,,,,,
First,Tommy Haas,6-3 6-3 6-4,2009,m,Tommy Haas,Eduardo Schwank,GER,ARG,48%,61%,10,2,5,4,86%,61%,50%,44%,195,190,177,166,154,142,46%,29%,46%,33%,102,79,44,27,32,31,78%,72%
First,Denis Istomin,6-2 7-5 6-4,2009,m,Denis Istomin,Vince Spadea,UZB,USA,59%,65%,10,3,5,7,79%,55%,50%,39%,,,,,NULL,NULL,54%,75%,51%,33%,101,73,,,,,,
First,Gael Monfils,6-1 6-3 7-5,2009,m,Gael Monfils,Martin Vassallo Arguello,FRA,ARG,51%,66%,9,0,7,6,83%,54%,42%,40%,209,196,174,171,142,137,38%,33%,51%,37%,117,91,48,18,49,38,70%,52%
First,Igor Andreev,5-7 3-6 6-4 6-3 6-4,2009,m,Igor Andreev,Peter Polansky,RUS,CAN,59%,61%,13,7,7,4,83%,62%,46%,55%,,,,,0,0,50%,50%,41%,32%,159,142,,,,,,
First,Sebastien de Chaunac,2-6 6-3 0-6 6-2 6-2,2009,m,Sebastien de Chaunac,Steve Darcis,FRA,BEL,50%,46%,12,5,5,2,75%,62%,47%,53%,,,,,0,0,86%,75%,43%,39%,114,105,,,,,,
First,Ivan Ljubicic,4-6 7-6(3) 7-6(7) 5-7 6-3,2009,m,Ivan Ljubicic,Igor Kunitsyn,CRO,RUS,68%,77%,26,10,4,6,71%,66%,46%,37%,,,,,0,0,47%,80%,41%,37%,180,173,,,,,,
First,Fabio Fognini,3-6 7-6(7) 6-4 6-2,2009,m,Fabio Fognini,Andrey Golubev,ITA,KAZ,56%,56%,4,6,7,7,79%,65%,53%,61%,,,,,0,0,33%,25%,37%,32%,136,127,,,,,,
Final,Roger Federer,6-3 6-4 7-6(11),2010,m,Roger Federer,Andy Murray,SUI,GBR,66%,57%,11,10,2,4,72%,69%,61%,51%,209,214,191,196,153,151,33%,25%,37%,32%,116,100,46,29,42,36,72%,61%
semi,Roger Federer,6-2 6-3 6-2,2010,m,Roger Federer,Jo-Wilfried Tsonga,SUI,FRA,64%,56%,4,6,0,5,84%,69%,68%,39%,208,207,190,189,152,146,50%,-,41%,22%,85,54,33,21,13,27,73%,52%
semi,Andy Murray,3-6 6-4 6-4 6-2,2010,m,Andy Murray,Marin Cilic,GBR,CRO,63%,56%,5,6,1,6,76%,70%,57%,44%,207,205,183,189,148,148,31%,33%,39%,31%,125,106,40,35,29,54,69%,63%
quarter,Roger Federer,2-6 6-3 6-0 7-5,2010,m,Roger Federer,Nikolay Davydenko,SUI,RUS,60%,62%,9,1,4,4,67%,59%,49%,39%,209,207,189,176,150,150,57%,26%,47%,39%,125,104,35,35,43,50,68%,58%
quarter,Jo-Wilfried Tsonga,7-6(8) 6-7(5) 1-6 6-3 6-1,2010,m,Jo-Wilfried Tsonga,Novak Djokovic,FRA,SRB,64%,69%,19,2,2,9,68%,67%,48%,49%,215,199,193,186,150,155,67%,38%,36%,39%,158,155,54,41,55,55,59%,70%
quarter,Marin Cilic,7-6(4) 6-3 3-6 2-6 6-3,2010,m,Marin Cilic,Andy Roddick,CRO,USA,50%,63%,20,15,6,1,75%,69%,46%,52%,207,220,187,193,145,169,38%,38%,37%,38%,147,149,63,47,53,51,73%,54%
quarter,Andy Murray,6-3 7-6(2) 3-0 ret.,2010,m,Andy Murray,Rafael Nadal,GBR,ESP,59%,67%,13,1,1,1,77%,63%,45%,42%,216,199,193,175,152,143,40%,17%,44%,36%,94,75,38,23,25,26,79%,87%
Fourth,Roger Federer,6-2 6-3 6-4,2010,m,Roger Federer,Lleyton Hewitt,SUI,AUS,63%,60%,7,5,0,2,76%,62%,66%,45%,211,196,190,175,149,140,33%,20%,44%,28%,102,77,49,18,27,18,54%,52%
Fourth,Nikolay Davydenko,6-2 7-5 4-6 6-7(5) 6-3,2010,m,Nikolay Davydenko,Fernando Verdasco,RUS,ESP,62%,57%,6,15,5,20,68%,73%,57%,45%,207,219,187,195,154,164,58%,33%,35%,35%,171,157,37,45,51,81,68%,67%
Fourth,Novak Djokovic,6-1 6-2 7-5,2010,m,Novak Djokovic,Lukasz Kubot,SRB,POL,69%,62%,11,4,1,4,80%,68%,70%,31%,202,209,183,189,158,162,67%,50%,44%,23%,92,58,37,18,17,25,58%,49%
Fourth,Jo-Wilfried Tsonga,6-3 6-4 4-6 6-7(6) 9-7,2010,m,Jo-Wilfried Tsonga,Nicolas Almagro,FRA,ESP,58%,77%,25,13,4,1,85%,75%,63%,53%,217,215,193,178,149,146,27%,25%,30%,24%,174,160,77,46,42,40,79%,75%
Fourth,Andy Roddick,6-3 3-6 4-6 7-5 6-2,2010,m,Andy Roddick,Fernando Gonzalez,USA,CHI,68%,61%,32,17,0,9,87%,75%,50%,44%,227,213,198,181,167,147,22%,50%,35%,25%,159,141,68,83,17,49,57%,71%
Fourth,Marin Cilic,5-7 6-4 7-5 5-7 6-3,2010,m,Marin Cilic,Juan Martin Del Potro,CRO,ARG,57%,60%,20,19,7,3,82%,72%,50%,54%,206,214,187,190,145,145,25%,30%,34%,31%,181,173,67,46,71,58,61%,62%
Fourth,Andy Murray,7-6(4) 6-3 6-2,2010,m,Andy Murray,John Isner,GBR,USA,71%,69%,5,14,1,2,83%,70%,65%,29%,209,216,168,196,148,175,50%,0%,42%,22%,108,71,32,43,8,41,89%,49%
Fourth,Rafael Nadal,6-4 4-6 6-4 6-4,2010,m,Rafael Nadal,Ivo Karlovic,ESP,CRO,71%,68%,2,28,2,2,78%,78%,73%,62%,196,222,172,208,139,167,50%,50%,27%,23%,107,101,35,55,15,42,61%,64%
Third,Roger Federer,6-3 6-4 6-4,2010,m,Roger Federer,Albert Montanes,SUI,ESP,66%,60%,10,7,3,1,88%,60%,56%,64%,206,198,189,180,149,145,50%,-,38%,22%,96,74,36,18,39,33,73%,70%
Third,Lleyton Hewitt,6-0 4-2 ret.,2010,m,Lleyton Hewitt,Marcos Baghdatis,AUS,CYP,55%,47%,1,5,0,2,76%,65%,79%,16%,195,200,181,190,137,148,50%,-,58%,23%,46,21,8,8,8,26,100%,20%
Third,Fernando Verdasco,6-1 ret.,2010,m,Fernando Verdasco,Stefan Koubek,ESP,AUT,63%,53%,0,0,2,2,90%,44%,50%,13%,189,170,170,164,166,129,100%,-,63%,22%,24,9,5,2,6,12,100%,100%
Third,Nikolay Davydenko,6-0 6-3 6-4,2010,m,Nikolay Davydenko,Juan Monaco,RUS,ARG,71%,67%,6,0,2,0,72%,47%,59%,52%,207,199,177,171,146,145,60%,50%,51%,31%,87,58,22,6,30,35,63%,50%
Third,Novak Djokovic,6-1 6-1 6-2,2010,m,Novak Djokovic,Denis Istomin,SRB,UZB,59%,55%,3,3,7,0,73%,39%,45%,26%,199,197,187,176,158,138,64%,22%,67%,35%,87,49,29,11,25,31,71%,38%
Third,Jo-Wilfried Tsonga,6-4 3-6 6-1 7-5,2010,m,Jo-Wilfried Tsonga,Tommy Haas,FRA,GER,67%,69%,20,9,3,2,78%,66%,56%,56%,213,197,189,181,146,149,45%,50%,36%,29%,116,100,47,32,29,38,57%,67%
Third,Nicolas Almagro,6-4 6-3 6-4,2010,m,Nicolas Almagro,Alejandro Falla,ESP,COL,56%,50%,11,3,3,2,88%,63%,51%,51%,217,193,185,175,144,142,40%,25%,42%,27%,106,81,37,13,37,35,86%,57%
Third,Andy Roddick,6-7(4) 6-4 6-4 7-6(3),2010,m,Andy Roddick,Feliciano Lopez,USA,ESP,74%,58%,29,29,3,5,80%,74%,67%,51%,219,217,201,199,168,165,18%,20%,35%,23%,158,137,54,71,21,60,54%,63%
Third,Fernando Gonzalez,6-7(5) 6-3 1-6 6-3 6-4,2010,m,Fernando Gonzalez,Evgeny Korolev,CHI,KAZ,57%,59%,20,16,5,7,80%,78%,51%,53%,209,202,179,178,149,145,36%,33%,31%,32%,154,150,63,62,41,50,90%,64%
Third,Marin Cilic,4-6 6-4 6-3 6-3,2010,m,Marin Cilic,Stanislas Wawrinka,CRO,SUI,57%,53%,10,11,2,6,83%,75%,49%,45%,209,218,189,188,140,146,50%,29%,37%,31%,129,114,35,24,56,49,65%,50%
Third,Juan Martin Del Potro,6-3 0-6 6-4 7-5,2010,m,Juan Martin Del Potro,Florian Mayer,ARG,GER,59%,67%,11,5,5,3,71%,64%,45%,54%,218,198,199,183,158,139,36%,50%,38%,38%,118,117,45,34,46,24,66%,69%
